Crime Type,Year,Cases
Attempted murder,2000,0.187
Causing bodily injuries,2000,22.244
Murder,2000,2.401
Rape,2000,5.273
Robbery with firearms,2000,0.388
Robbery without firearms,2000,7.326
Attempted murder,2010,0.0
Causing bodily injuries,2010,26.760
Murder,2010,1.696
Rape,2010,11.777
Robbery with firearms,2010,0.0
Robbery without firearms,2010,0.0
Attempted murder,2022,0.0
Causing bodily injuries,2022,11.217
Murder,2022,0.707
Rape,2022,5.0445
Robbery with firearms,2022,0.0
Robbery without firearms,2022,0.0
